Date,Open,High,Low,Close,Volume,Adj Close
2010-08-27,105.889999,106.970001,104.309998,106.860001,272649000,94.947732
2010-08-26,106.440002,106.580002,104.879997,105.230003,224439500,93.49944
2010-08-25,104.949997,106.339996,104.290001,105.940002,272234800,94.130291
2010-08-24,105.949997,106.389999,104.970001,105.529999,280677800,93.765993
2010-08-23,108.040001,108.57,107.07,107.120003,163490300,95.17875
2010-08-20,107.559998,107.940002,106.75,107.529999,209714200,95.543042
2010-08-19,109.220001,109.489998,107.43,107.879997,265847600,95.854024
2010-08-18,109.540001,110.379997,108.910004,109.790001,182922100,97.551109
2010-08-17,109.190002,110.389999,108.879997,109.589996,172270300,97.3734
2010-08-16,107.57,108.610001,107.18,108.260002,147895300,96.191668
2010-08-13,108.290001,108.959999,108.18,108.309998,158698500,96.23609
2010-08-12,107.650002,109.019997,107.599998,108.629997,239542600,96.520418
2010-08-11,110.650002,110.690002,109.120003,109.300003,273406900,97.115734
2010-08-10,112.029999,112.980003,111.370003,112.379997,242916300,99.852385
2010-08-09,112.919998,113.18,112.32,112.989998,120800400,100.394385
2010-08-06,111.739998,112.57,110.919998,112.389999,239728300,99.861272
2010-08-05,112.25,112.910004,112.080002,112.849998,140473800,100.269992
2010-08-04,112.529999,113.110001,112.160004,112.970001,158171700,100.376618
2010-08-03,112.480003,112.769997,111.849998,112.220001,146657300,99.710224
2010-08-02,111.989998,112.940002,111.540001,112.760002,188263200,100.190028
2010-07-30,109.169998,110.860001,108.980003,110.269997,220070600,97.977597
2010-07-29,111.519997,111.82,109.410004,110.290001,220149100,97.995371
2010-07-28,111.32,111.660004,110.459999,110.830002,163056200,98.475176
2010-07-27,112.169998,112.290001,111.110001,111.550003,204855600,99.114914
2010-07-26,110.599998,111.669998,110.290001,111.559998,184445700,99.123795
2010-07-23,109.239998,110.57,108.93,110.410004,222020800,98.101997
2010-07-22,108.339996,109.940002,108.330002,109.459999,274781300,97.257894
2010-07-21,109.040001,109.07,106.629997,107.07,264527000,95.134321
2010-07-20,105.870003,108.559998,105.82,108.480003,258162400,96.387144
2010-07-19,107.050003,107.629997,106.220001,107.290001,186709000,95.329798
2010-07-16,109.089996,109.209999,106.449997,106.660004,282693400,94.77003
2010-07-15,109.610001,110.059998,108.169998,109.68,232337900,97.453371
2010-07-14,109.309998,110.080002,108.860001,109.650002,184426800,97.426716
2010-07-13,109.150002,110.089996,108.93,109.660004,213025900,97.435603
2010-07-12,107.599998,108.239998,107.150002,108.029999,131283600,95.987304
2010-07-09,107.129997,107.970001,106.93,107.959999,144999900,95.925108
2010-07-08,107.00,107.279999,105.910004,107.160004,210842100,95.214292
2010-07-07,103.129997,106.239998,103.019997,106.110001,253769400,94.281339
2010-07-06,103.639999,104.370003,101.879997,102.870003,256935300,91.402521
2010-07-02,103.110001,103.419998,101.620003,102.199997,233385200,90.807204
2010-07-01,103.150002,103.489998,101.129997,102.760002,382924800,91.304783
2010-06-30,103.919998,104.879997,102.879997,103.220001,284101700,91.713503
2010-06-29,106.019997,107.510002,103.550003,104.209999,373649500,92.593141
2010-06-28,108.029999,108.32,107.139999,107.529999,169218600,95.543042
2010-06-25,107.739998,108.419998,106.769997,107.870003,238726500,95.845144
2010-06-24,108.690002,108.830002,107.139999,107.419998,268523600,95.445304
2010-06-23,109.639999,110.029999,108.480003,109.230003,254639900,97.053538
2010-06-22,111.410004,111.900002,109.410004,109.57,239355400,97.355633
2010-06-21,113.120003,113.199997,110.790001,111.410004,213140700,98.990521
2010-06-18,111.830002,112.129997,111.370003,111.730003,174006600,99.274849
2010-06-17,112.279999,112.330002,111.050003,112.139999,263185800,99.167332
2010-06-16,111.419998,112.419998,111.199997,111.959999,216374000,99.008155
2010-06-15,110.279999,112.099998,110.089996,112.00,238268700,99.043529
2010-06-14,110.519997,111.120003,109.400002,109.510002,207196100,96.841581
2010-06-11,108.190002,109.75,108.120003,109.68,214128200,96.991913
2010-06-10,107.860001,109.279999,106.040001,109.150002,317890600,96.523226
2010-06-09,107.239998,108.279999,105.599998,106.050003,268023300,93.781844
2010-06-08,105.57,106.830002,104.650002,106.620003,357774300,94.285904
2010-06-07,107.199997,107.610001,105.410004,105.489998,264609100,93.286622
2010-06-04,108.610001,109.330002,106.459999,106.82,398475600,94.462765
2010-06-03,110.650002,111.059998,109.580002,110.709999,226618300,97.902759
2010-06-02,108.080002,110.339996,107.510002,110.330002,240243700,97.56672
